ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
853,USA,175000.0,Software Developer,Microsoft Azure
853,USA,175000.0,Software Developer,OpenStack
855,USA,159000.0,Software Developer,Amazon Web Services (AWS)
855,USA,159000.0,Software Developer,Google Cloud
855,USA,159000.0,Software Developer,Microsoft Azure
855,USA,159000.0,Software Developer,Vercel
857,Uk,127388.0,Software Developer,Microsoft Azure
859,Uk,76433.0,Software Developer,Microsoft Azure
859,Uk,76433.0,Software Developer,Supabase
861,Nicaragua,211000.0,Infrastructure & DevOps,Amazon Web Services (AWS)
861,Nicaragua,211000.0,Infrastructure & DevOps,Cloudflare
867,Romania,15536.0,Software Developer,Microsoft Azure
873,France,71962.0,Software Developer,No platform reported
874,Germany,54777.0,Software Developer,Hetzner
874,Germany,54777.0,Software Developer,Microsoft Azure
875,Israel,100381.0,Software Developer,Amazon Web Services (AWS)
877,Finland,80555.0,Software Developer,Microsoft Azure
879,Netherlands,60147.0,Software Developer,No platform reported
881,USA,170000.0,Software Developer,Databricks
881,USA,170000.0,Software Developer,Microsoft Azure
883,Switzerland,89134.0,Software Developer,Amazon Web Services (AWS)
883,Switzerland,89134.0,Software Developer,Firebase
883,Switzerland,89134.0,Software Developer,Vercel
884,Serbia,413.0,Software Developer,Microsoft Azure
886,USA,190000.0,Software Developer,Amazon Web Services (AWS)
889,Croatia,167554.0,Research & Education,Google Cloud
890,Poland,38604.0,Software Developer,No platform reported
891,Portugal,83777.0,Software Developer,Amazon Web Services (AWS)
891,Portugal,83777.0,Software Developer,OVH
892,Netherlands,38666.0,Software Developer,No platform reported
893,USA,120000.0,Security & Blockchain,No platform reported
894,Uk,112101.0,Software Developer,No platform reported
898,USA,85000.0,Infrastructure & DevOps,No platform reported
901,Brazil,34609.0,Software Developer,Amazon Web Services (AWS)
901,Brazil,34609.0,Software Developer,Google Cloud
903,USA,160000.0,Software Developer,Firebase
903,USA,160000.0,Software Developer,Google Cloud
907,Ukraine,10000.0,Software Developer,Amazon Web Services (AWS)
907,Ukraine,10000.0,Software Developer,Heroku
907,Ukraine,10000.0,Software Developer,Render
909,Ukraine,1500.0,Software Developer,Amazon Web Services (AWS)
909,Ukraine,1500.0,Software Developer,Digital Ocean
909,Ukraine,1500.0,Software Developer,Firebase
909,Ukraine,1500.0,Software Developer,Render
912,Sweden,76307.0,Software Developer,No platform reported
913,Israel,1889.0,Software Developer,Google Cloud
913,Israel,1889.0,Software Developer,Heroku
913,Israel,1889.0,Software Developer,Netlify
913,Israel,1889.0,Software Developer,VMware
916,Hungary,45655.0,Software Developer,Cloudflare
916,Hungary,45655.0,Software Developer,Google Cloud
916,Hungary,45655.0,Software Developer,Hetzner
917,Spain,19333.0,Software Developer,Cloudflare
917,Spain,19333.0,Software Developer,Netlify
