ResponseId,Age,Country_Normalized,ConvertedCompYearly,PlatformWantToWorkWith
30889,18-24 years old,France,39740.0,Microsoft Azure
30889,18-24 years old,France,39740.0,Scaleway
30893,25-34 years old,USA,75000.0,No platform reported
30894,25-34 years old,India,28712.0,Amazon Web Services (AWS)
30894,25-34 years old,India,28712.0,Microsoft Azure
30895,35-44 years old,USA,180000.0,Databricks
30895,35-44 years old,USA,180000.0,Digital Ocean
30895,35-44 years old,USA,180000.0,Google Cloud
30895,35-44 years old,USA,180000.0,Microsoft Azure
30896,25-34 years old,USA,190000.0,Amazon Web Services (AWS)
30896,25-34 years old,USA,190000.0,Google Cloud
30897,55-64 years old,USA,175000.0,Amazon Web Services (AWS)
30897,55-64 years old,USA,175000.0,Managed Hosting
30897,55-64 years old,USA,175000.0,PythonAnywhere
30899,25-34 years old,Germany,43285.0,No platform reported
30900,25-34 years old,Canada,61789.0,No platform reported
30901,25-34 years old,Iran,142560.0,No platform reported
30902,18-24 years old,USA,98000.0,No platform reported
30903,25-34 years old,USA,90000.0,Colocation
30908,25-34 years old,Brazil,44354.0,Amazon Web Services (AWS)
30911,35-44 years old,USA,185000.0,Amazon Web Services (AWS)
30912,25-34 years old,USA,97000.0,Amazon Web Services (AWS)
30913,45-54 years old,Mexico,28033.0,Amazon Web Services (AWS)
30918,35-44 years old,USA,195718.0,Microsoft Azure
30922,25-34 years old,Germany,76258.0,Digital Ocean
30925,18-24 years old,Germany,12889.0,"Linode, now Akamai"
30927,18-24 years old,USA,110000.0,No platform reported
30928,35-44 years old,Netherlands,85925.0,Microsoft Azure
30929,25-34 years old,Belgium,38666.0,No platform reported
30931,45-54 years old,France,96666.0,Amazon Web Services (AWS)
30934,18-24 years old,USA,121212.0,Amazon Web Services (AWS)
30934,18-24 years old,USA,121212.0,Databricks
30934,18-24 years old,USA,121212.0,IBM Cloud Or Watson
30934,18-24 years old,USA,121212.0,Vercel
30935,35-44 years old,USA,200000.0,Amazon Web Services (AWS)
30935,35-44 years old,USA,200000.0,Microsoft Azure
30936,45-54 years old,USA,1.0,No platform reported
30938,45-54 years old,Canada,145386.0,No platform reported
30940,35-44 years old,Canada,90866.0,No platform reported
30943,25-34 years old,Brazil,167838.0,Amazon Web Services (AWS)
30943,25-34 years old,Brazil,167838.0,Oracle Cloud Infrastructure (OCI)
30944,35-44 years old,USA,175000.0,Amazon Web Services (AWS)
30944,35-44 years old,USA,175000.0,Digital Ocean
30944,35-44 years old,USA,175000.0,"Linode, now Akamai"
30944,35-44 years old,USA,175000.0,OVH
30944,35-44 years old,USA,175000.0,Vultr
30945,25-34 years old,Argentina,65900.0,Amazon Web Services (AWS)
30945,25-34 years old,Argentina,65900.0,Firebase
30945,25-34 years old,Argentina,65900.0,Google Cloud
30945,25-34 years old,Argentina,65900.0,Vercel
30947,35-44 years old,France,48333.0,Firebase
30947,35-44 years old,France,48333.0,OVH
30947,35-44 years old,France,48333.0,Vercel
30947,35-44 years old,France,48333.0,VMware
30948,35-44 years old,New Zealand,104476.0,Amazon Web Services (AWS)
30948,35-44 years old,New Zealand,104476.0,Microsoft Azure
30950,25-34 years old,Mexico,31806.0,Firebase
30950,25-34 years old,Mexico,31806.0,Google Cloud
30952,25-34 years old,USA,120000.0,Amazon Web Services (AWS)
30952,25-34 years old,USA,120000.0,Microsoft Azure
30954,35-44 years old,Australia,99099.0,Microsoft Azure
30954,35-44 years old,Australia,99099.0,Netlify
30955,45-54 years old,USA,190000.0,Amazon Web Services (AWS)
30955,45-54 years old,USA,190000.0,Google Cloud
30955,45-54 years old,USA,190000.0,Managed Hosting
30955,45-54 years old,USA,190000.0,Microsoft Azure
30955,45-54 years old,USA,190000.0,OpenStack
30955,45-54 years old,USA,190000.0,Vercel
30957,35-44 years old,USA,216000.0,Google Cloud
30959,25-34 years old,USA,88000.0,No platform reported
30963,18-24 years old,Australia,46246.0,OpenStack
30966,18-24 years old,Ukraine,533.0,Amazon Web Services (AWS)
30966,18-24 years old,Ukraine,533.0,Firebase
30966,18-24 years old,Ukraine,533.0,Google Cloud
30966,18-24 years old,Ukraine,533.0,OVH
30968,55-64 years old,USA,140000.0,No platform reported
30970,45-54 years old,Netherlands,193331.0,Amazon Web Services (AWS)
30970,45-54 years old,Netherlands,193331.0,Google Cloud
30971,45-54 years old,Nigeria,80000.0,Amazon Web Services (AWS)
30971,45-54 years old,Nigeria,80000.0,Databricks
30971,45-54 years old,Nigeria,80000.0,Google Cloud
30971,45-54 years old,Nigeria,80000.0,Microsoft Azure
30973,25-34 years old,France,30074.0,No platform reported
30974,45-54 years old,USA,80000.0,No platform reported
30975,55-64 years old,USA,100000.0,No platform reported
30980,35-44 years old,Uganda,36210.0,No platform reported
30983,25-34 years old,New Zealand,53467.0,No platform reported
30984,55-64 years old,Ireland,107406.0,Amazon Web Services (AWS)
30984,55-64 years old,Ireland,107406.0,PythonAnywhere
30985,25-34 years old,Germany,69277.0,No platform reported
30987,25-34 years old,Netherlands,96666.0,Google Cloud
30987,25-34 years old,Netherlands,96666.0,Hetzner
30989,25-34 years old,Canada,177371.0,Amazon Web Services (AWS)
30989,25-34 years old,Canada,177371.0,Cloudflare
30990,35-44 years old,Italy,48333.0,Amazon Web Services (AWS)
30990,35-44 years old,Italy,48333.0,Google Cloud
30992,18-24 years old,Canada,52598.0,No platform reported
30994,25-34 years old,USA,215000.0,Amazon Web Services (AWS)
30995,35-44 years old,USA,180000.0,Google Cloud
30995,35-44 years old,USA,180000.0,Microsoft Azure
30996,35-44 years old,Spain,53703.0,Amazon Web Services (AWS)
30997,35-44 years old,USA,118000.0,Digital Ocean
30997,35-44 years old,USA,118000.0,Firebase
30997,35-44 years old,USA,118000.0,Vercel
31006,18-24 years old,Finland,58085.0,Fly.io
31006,18-24 years old,Finland,58085.0,Hetzner
31009,18-24 years old,Romania,43155.0,Firebase
31009,18-24 years old,Romania,43155.0,Microsoft Azure
31009,18-24 years old,Romania,43155.0,Render
31010,35-44 years old,USA,110000.0,Amazon Web Services (AWS)
31010,35-44 years old,USA,110000.0,Google Cloud
31010,35-44 years old,USA,110000.0,Microsoft Azure
31012,18-24 years old,USA,80000.0,Microsoft Azure
31013,25-34 years old,USA,130000.0,Amazon Web Services (AWS)
31013,25-34 years old,USA,130000.0,Google Cloud
31014,25-34 years old,USA,110000.0,Google Cloud
31017,35-44 years old,Ukraine,4000.0,No platform reported
31018,25-34 years old,Mexico,6469.0,OpenShift
31018,25-34 years old,Mexico,6469.0,Oracle Cloud Infrastructure (OCI)
31018,25-34 years old,Mexico,6469.0,Supabase
31018,25-34 years old,Mexico,6469.0,Vercel
31021,45-54 years old,USA,180000.0,Amazon Web Services (AWS)
31021,45-54 years old,USA,180000.0,Databricks
31021,45-54 years old,USA,180000.0,Google Cloud
31021,45-54 years old,USA,180000.0,Microsoft Azure
31021,45-54 years old,USA,180000.0,OpenShift
31021,45-54 years old,USA,180000.0,VMware
31022,18-24 years old,USA,40000.0,No platform reported
31025,35-44 years old,Serbia,48000.0,Cloudflare
31025,35-44 years old,Serbia,48000.0,Managed Hosting
31025,35-44 years old,Serbia,48000.0,OVH
31026,25-34 years old,USA,80000.0,Cloudflare
31027,35-44 years old,Australia,113964.0,Amazon Web Services (AWS)
31028,25-34 years old,USA,126000.0,Alibaba Cloud
31028,25-34 years old,USA,126000.0,Amazon Web Services (AWS)
31028,25-34 years old,USA,126000.0,OpenStack
31028,25-34 years old,USA,126000.0,Vercel
31030,35-44 years old,USA,95000.0,No platform reported
31032,25-34 years old,Viet Nam,22010.0,No platform reported
31033,35-44 years old,Turkey,61827.0,Firebase
31033,35-44 years old,Turkey,61827.0,Microsoft Azure
31035,25-34 years old,Germany,107406.0,Cloudflare
31035,25-34 years old,Germany,107406.0,Hetzner
31037,25-34 years old,USA,130000.0,No platform reported
31038,18-24 years old,USA,44460.0,No platform reported
31039,18-24 years old,USA,110000.0,Firebase
31039,18-24 years old,USA,110000.0,Google Cloud
31040,35-44 years old,Uk,95541.0,No platform reported
31041,25-34 years old,USA,130000.0,No platform reported
31042,35-44 years old,Germany,55851.0,No platform reported
31044,25-34 years old,Romania,77332.0,No platform reported
31045,25-34 years old,Turkey,18548.0,No platform reported
31049,25-34 years old,Brazil,128000.0,Managed Hosting
31050,18-24 years old,Brazil,1678.0,Amazon Web Services (AWS)
31050,18-24 years old,Brazil,1678.0,Render
31052,18-24 years old,Argentina,3900.0,No platform reported
31053,35-44 years old,Estonia,35444.0,No platform reported
31056,18-24 years old,New Zealand,46092.0,Amazon Web Services (AWS)
31056,18-24 years old,New Zealand,46092.0,Microsoft Azure
31057,25-34 years old,USA,110000.0,Digital Ocean
31057,25-34 years old,USA,110000.0,Microsoft Azure
31062,55-64 years old,USA,100000.0,No platform reported
31066,Under 18 years old,Republic of Korea,7253.0,Alibaba Cloud
31066,Under 18 years old,Republic of Korea,7253.0,Amazon Web Services (AWS)
31066,Under 18 years old,Republic of Korea,7253.0,Cloudflare
31066,Under 18 years old,Republic of Korea,7253.0,Microsoft Azure
31068,18-24 years old,India,71781.0,No platform reported
31070,35-44 years old,USA,115000.0,No platform reported
31074,25-34 years old,Australia,47568.0,No platform reported
31075,25-34 years old,New Zealand,56540.0,Microsoft Azure
31076,25-34 years old,USA,35336.0,No platform reported
31077,35-44 years old,Australia,198198.0,OVH
31080,25-34 years old,Argentina,33255.0,Firebase
31082,25-34 years old,Brazil,85784.0,Google Cloud
31082,25-34 years old,Brazil,85784.0,Supabase
31083,55-64 years old,USA,95000.0,Amazon Web Services (AWS)
31083,55-64 years old,USA,95000.0,"Linode, now Akamai"
31083,55-64 years old,USA,95000.0,Microsoft Azure
31084,18-24 years old,India,7178.0,Amazon Web Services (AWS)
31084,18-24 years old,India,7178.0,Google Cloud
31085,18-24 years old,Brazil,5595.0,Amazon Web Services (AWS)
31085,18-24 years old,Brazil,5595.0,Firebase
31085,18-24 years old,Brazil,5595.0,Google Cloud
31085,18-24 years old,Brazil,5595.0,Microsoft Azure
31086,25-34 years old,Brazil,40001.0,OpenShift
31089,55-64 years old,USA,160000.0,No platform reported
31091,18-24 years old,Mexico,3235.0,Amazon Web Services (AWS)
31091,18-24 years old,Mexico,3235.0,Cloudflare
31091,18-24 years old,Mexico,3235.0,Digital Ocean
31091,18-24 years old,Mexico,3235.0,Microsoft Azure
31097,18-24 years old,Canada,34893.0,Amazon Web Services (AWS)
31097,18-24 years old,Canada,34893.0,Supabase
31099,25-34 years old,Dominican Republic,4041.0,Amazon Web Services (AWS)
31099,25-34 years old,Dominican Republic,4041.0,Cloudflare
31100,35-44 years old,Canada,109039.0,Netlify
31100,35-44 years old,Canada,109039.0,Render
31100,35-44 years old,Canada,109039.0,Vercel
31107,25-34 years old,Brazil,48487.0,Amazon Web Services (AWS)
31107,25-34 years old,Brazil,48487.0,Databricks
31109,35-44 years old,USA,200000.0,No platform reported
31111,25-34 years old,USA,140000.0,No platform reported
31112,35-44 years old,USA,90000.0,Amazon Web Services (AWS)
31112,35-44 years old,USA,90000.0,Cloudflare
31112,35-44 years old,USA,90000.0,Firebase
31112,35-44 years old,USA,90000.0,Google Cloud
31115,35-44 years old,USA,200000.0,Amazon Web Services (AWS)
31120,35-44 years old,Canada,94501.0,Microsoft Azure
31121,25-34 years old,Australia,105706.0,Google Cloud
31122,25-34 years old,Canada,79962.0,Amazon Web Services (AWS)
31123,65 years or older,USA,220000.0,No platform reported
31127,35-44 years old,USA,170000.0,No platform reported
31128,35-44 years old,USA,130000.0,Google Cloud
31128,35-44 years old,USA,130000.0,"Linode, now Akamai"
31128,35-44 years old,USA,130000.0,OVH
31129,35-44 years old,El Salvador,63000.0,Amazon Web Services (AWS)
31129,35-44 years old,El Salvador,63000.0,Google Cloud
31129,35-44 years old,El Salvador,63000.0,Microsoft Azure
31139,35-44 years old,USA,160000.0,No platform reported
31142,18-24 years old,Australia,31749.0,Digital Ocean
31142,18-24 years old,Australia,31749.0,Microsoft Azure
31146,25-34 years old,New Zealand,73748.0,Microsoft Azure
31152,55-64 years old,USA,175000.0,No platform reported
31155,25-34 years old,Uganda,4244.0,Alibaba Cloud
31155,25-34 years old,Uganda,4244.0,Digital Ocean
31155,25-34 years old,Uganda,4244.0,Oracle Cloud Infrastructure (OCI)
31155,25-34 years old,Uganda,4244.0,Render
31159,25-34 years old,South Korea,34816.0,Amazon Web Services (AWS)
31160,18-24 years old,Dominican Republic,5051.0,Amazon Web Services (AWS)
31160,18-24 years old,Dominican Republic,5051.0,Fly.io
31160,18-24 years old,Dominican Republic,5051.0,Microsoft Azure
31160,18-24 years old,Dominican Republic,5051.0,Netlify
31160,18-24 years old,Dominican Republic,5051.0,Render
31162,35-44 years old,USA,150000.0,Cloudflare
31162,35-44 years old,USA,150000.0,Digital Ocean
31162,35-44 years old,USA,150000.0,Google Cloud
31162,35-44 years old,USA,150000.0,Microsoft Azure
31162,35-44 years old,USA,150000.0,OpenShift
31162,35-44 years old,USA,150000.0,OpenStack
31164,45-54 years old,USA,200000.0,Amazon Web Services (AWS)
31164,45-54 years old,USA,200000.0,Microsoft Azure
31165,18-24 years old,Brazil,16577.0,Amazon Web Services (AWS)
31165,18-24 years old,Brazil,16577.0,OpenStack
31166,35-44 years old,Australia,79279.0,No platform reported
31174,18-24 years old,USA,150000.0,Amazon Web Services (AWS)
31174,18-24 years old,USA,150000.0,Cloudflare
31174,18-24 years old,USA,150000.0,Fly.io
31175,35-44 years old,USA,210000.0,Supabase
31175,35-44 years old,USA,210000.0,Vercel
31177,25-34 years old,Japan,28640.0,No platform reported
31188,18-24 years old,Australia,46246.0,Cloudflare
31188,18-24 years old,Australia,46246.0,Firebase
31188,18-24 years old,Australia,46246.0,Supabase
31188,18-24 years old,Australia,46246.0,Vercel
31191,25-34 years old,Uk,50955.0,No platform reported
31192,18-24 years old,USA,40000.0,Amazon Web Services (AWS)
31192,18-24 years old,USA,40000.0,Firebase
31193,35-44 years old,Canada,43616.0,Amazon Web Services (AWS)
31193,35-44 years old,Canada,43616.0,Digital Ocean
31194,25-34 years old,Russia,40336.0,No platform reported
31196,35-44 years old,USA,164500.0,No platform reported
31199,25-34 years old,USA,168300.0,Amazon Web Services (AWS)
31201,25-34 years old,Canada,58154.0,Amazon Web Services (AWS)
31201,25-34 years old,Canada,58154.0,Cloudflare
31201,25-34 years old,Canada,58154.0,Vercel
31203,25-34 years old,Indonesia,613.0,Microsoft Azure
31205,25-34 years old,Australia,52853.0,Firebase
31205,25-34 years old,Australia,52853.0,Microsoft Azure
31210,45-54 years old,USA,160000.0,Amazon Web Services (AWS)
31210,45-54 years old,USA,160000.0,Digital Ocean
31210,45-54 years old,USA,160000.0,OpenStack
31212,45-54 years old,Colombia,45420.0,Microsoft Azure
31213,25-34 years old,USA,160000.0,Digital Ocean
31214,45-54 years old,USA,215000.0,No platform reported
31215,25-34 years old,USA,170000.0,Amazon Web Services (AWS)
31215,25-34 years old,USA,170000.0,Digital Ocean
31220,18-24 years old,Australia,77347.0,No platform reported
31221,18-24 years old,Canada,36346.0,No platform reported
31224,18-24 years old,India,7226.0,Amazon Web Services (AWS)
31225,18-24 years old,China,37253.0,Digital Ocean
31225,18-24 years old,China,37253.0,VMware
31227,25-34 years old,USA,88000.0,Amazon Web Services (AWS)
31227,25-34 years old,USA,88000.0,Google Cloud
31228,25-34 years old,USA,155000.0,No platform reported
31234,18-24 years old,USA,61000.0,No platform reported
31239,45-54 years old,New Zealand,110622.0,Microsoft Azure
31240,25-34 years old,India,10349.0,Amazon Web Services (AWS)
31240,25-34 years old,India,10349.0,Cloudflare
31240,25-34 years old,India,10349.0,Digital Ocean
31240,25-34 years old,India,10349.0,Firebase
31240,25-34 years old,India,10349.0,Google Cloud
